,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-0.9510286909841548,0.042447920871188205,0.0588333900318585,-0.0698537226486777,-0.211942185067241,-0.6653381178694991,-0.22222756923329368,0.3531289371203472,-0.0644090229418213,-1.1059093920978469,-0.6470247500725331,-0.5006773698015199,0.3721098868688565,-0.24062995201138387,0.002508274845566205,-0.14023413302472587,-0.2689385817385772,0.0433316119001903,-0.4015067974413112
-0.8998294282946517,0.2394428720682853,0.1810195938060352,0.0102640326828773,-0.18541760929285028,-0.7257587382886937,-0.3830130838413836,-0.3248639615419554,-0.012336458076579904,-1.0565696888493203,-0.2670845085737003,-0.5278317100263162,0.4797143167201061,-0.41287231380739564,-0.47140620025047936,-0.27299125065812946,-0.3627240747421909,0.09158388449785648,-0.3320044567567264
-0.8504679678092847,0.3404171378295482,0.19147176316088932,-0.053356029727253305,-0.14986299387000648,-0.6565679007307527,-0.4405581591702768,-0.5864604886997801,-0.09141356925624688,-0.9194186411511579,-0.1358193326872881,-0.4712406652348853,0.4242077573217616,-0.4949219949590517,-0.6529067645845483,-0.2897472383250589,-0.43067654223731855,0.17130885459593073,-0.27978850334230393
-0.8002572986018398,0.3707347356354932,0.14188941839882657,-0.1654077839252332,-0.1065913497448823,-0.5222463219665341,-0.4295290561792167,-0.5921948077640541,-0.21647269358682608,-0.7395353916858837,-0.13395564372194999,-0.3705898187165584,0.2831054041064263,-0.5036392262394858,-0.6505291161096379,-0.2415796655962603,-0.47056649180689103,0.2514225424502699,-0.23894992833660417
-0.7481008433314855,0.3511786066911894,0.06921202935326,-0.2648016707324411,-0.058341036517883596,-0.36768304196800344,-0.3762771059279983,-0.46094875023010595,-0.33137896297406255,-0.5484021940783665,-0.1788201667031826,-0.2540210449307702,0.11268802345761761,-0.4563833416915341,-0.5452658729874237,-0.165080204408224,-0.48150938759708006,0.312189767786943,-0.20470907401856664
-0.6989774381700045,0.29849293810782507,-0.0019194540605268068,-0.3177992549149842,-0.008682393527982002,-0.22165577756803423,-0.300167470419485,-0.276661500007568,-0.4034574480419803,-0.3663410810118085,-0.2177265837889874,-0.14021946703439,-0.0486618162055672,-0.3701250212436881,-0.3949631525995533,-0.0848526991870887,-0.463877334417861,0.3429562652898785,-0.17328896828586793
-0.6492927812417596,0.2258945100613119,-0.0568860551853625,-0.311766749310547,0.038503399276829206,-0.10002642801807671,-0.2148037038648052,-0.0945217881641213,-0.4184068688147282,-0.20474743958844077,-0.2219154228690971,-0.0403190254691074,-0.17736239818987448,-0.2606872056248272,-0.23837886261555602,-0.0158081285407247,-0.4191986348009686,0.34008600106962505,-0.14179994864690681
-0.6009676134008259,0.14355306792793018,-0.08899920785302129,-0.249547505912577,0.0794732306829673,-0.008651732443697158,-0.1291481143712252,0.0533574019169161,-0.37569987216172973,-0.0681204939349257,-0.1810471813477699,0.0403733423911319,-0.2617743961354168,-0.1421146835777295,-0.0989027041173681,0.03474354148100609,-0.3500452190152441,0.30510369011322597,-0.1081355757264241
-0.5474610452635412,0.05904071939701011,-0.0975941775058998,-0.1444534739117985,0.11099873776857609,0.0539909208020149,-0.048537926052703996,0.15278161896516257,-0.2844698760061488,0.044109304947533706,-0.0982486851101477,0.1008349115326362,-0.2995812974692833,-0.026172351371362895,0.012062113219523309,0.06520461255781,-0.2599079480393719,0.2430425147152074,-0.0708798362847465
-0.5001693383231517,-0.02224964343934771,-0.0863084662095469,-0.0158756246950667,0.1306707556747164,0.0944625328871718,0.0244027584368747,0.2028352178378997,-0.1598844802966433,0.1359559820883726,0.0142873173278162,0.1429657675344288,-0.2954087117052455,0.0780278553880452,0.0920554438883173,0.0780040177023395,-0.1530597894920107,0.16099704388968272,-0.0292256357506677
-0.4499339385465646,-0.09671689701951129,-0.061545201556036905,0.1144866561984431,0.1371315375904508,0.1223063813519459,0.0889551949477914,0.2117591231209602,-0.020005444742452604,0.213456834208146,0.13914932548586761,0.1704087937406525,-0.2586825635895579,0.16427135764715778,0.14485506725652542,0.0781147932953993,-0.034406866519311796,0.06688135376356569,0.017095419732043704
-0.3980395140376155,-0.16219521426852102,-0.031121509458191116,0.22577721016372498,0.1302347449518047,0.1482767550615594,0.14560243445590348,0.1933460823157692,0.1168647666882352,0.283454318134298,0.2570010224023948,0.18755104737292871,-0.20172617109285132,0.2293566564969043,0.1781098362149742,0.071774659552966,0.0906726203601657,-0.0316076510490928,0.06787195174450811
-0.3491316360993248,-0.2176285675772508,-0.003101870834644499,0.3005157796590825,0.11113320785461389,0.1828525372613945,0.1954299592613708,0.16385340861255251,0.2343498745065895,0.3525810319722096,0.34932197493379613,0.198706524582662,-0.1380962082481165,0.2730823844650687,0.2013111137702006,0.0654097094250244,0.2165015984531533,-0.12782171509166912,0.12246044851896806
-0.2980528169440125,-0.2627762068045403,0.015183537814223796,0.3265117153779283,0.0822944556812477,0.2350356367342586,0.2396305187647115,0.1394332132496945,0.31968010567813965,0.42644778903157016,0.4005950988702946,0.2074803144432793,-0.08115755283478229,0.298105684510104,0.2241024975802105,0.0647612059262576,0.3372894551319776,-0.2167875087284045,0.1798216143513893
-0.2497089595893461,-0.2979491123022608,0.01793551993954401,0.2981587164632933,0.047444017941224,0.3114342670597519,0.27911316482017834,0.1340801274592353,0.3648859488344923,0.5090347845080145,0.3999408888681933,0.2163141418824473,-0.0428970189088948,0.3096719167161719,0.25492783243365896,0.07421548789850241,0.44732949711747777,-0.29562770382672887,0.23854542950042593
-0.1983325555471916,-0.332922775063617,-0.00417793902118388,0.10385382598688221,-0.02618293227677422,0.47682809848318247,0.34190739273478366,0.17794035902391242,0.3553386086165955,0.665982823974651,0.281788296150121,0.23032726388655259,0.003188692660965997,0.3191112435680626,0.30641540828095437,0.0948125486058249,0.6003738392369241,-0.4009508410758552,0.27649747777279376
-0.1477176390753811,-0.36059032904757105,-0.0459497998940956,-0.0529144527043571,-0.0386262394601688,0.6274111743533994,0.3749894589042543,0.2338730950520394,0.3045418223733639,0.7578755495321224,0.136734872349854,0.2325797573122782,-0.04454208672249829,0.3376957866176036,0.36589628941727853,0.1450808831644273,0.6552261223661567,-0.4352221817489808,0.31927545178599087
-0.0991449767622422,-0.36369962693240987,-0.1184139145280003,-0.1988945817606983,-0.0437188453448667,0.7846225528066335,0.40335827905394106,0.36226772286377795,0.214274946177559,0.8690593272998528,-0.0446189999572692,0.2610604594897649,-0.1383362524074893,0.32130264973455536,0.487507760101987,0.17390620008879362,0.6785785088545732,-0.4863265280999399,0.3941749024772489
-0.0489156180404582,-0.3605769593696076,-0.22635634491101891,-0.3360509940851557,-0.02598995570264817,0.9356886405502192,0.44856787353492,0.5085791824465504,0.06473749520051249,0.9815834737424334,-0.24606468761623562,0.2466336842272926,-0.2724512063077464,0.3495796902363514,0.6139500138241617,0.2221359496779984,0.6639274333630708,-0.5020348336156174,0.4664919651997873
0.0,-0.33630841521240107,-0.2986276625498059,-0.4141965433683739,0.006850459166704015,1.1041471931141555,0.4534112776649667,0.6038005075283377,0.009740863279007694,1.0729081983999573,-0.41901704839727777,0.2175813646973844,-0.4185773719503342,0.4845656595560851,0.7016030555409475,0.27796531644768163,0.599689473521612,-0.5542007365590209,0.5453045610972305
