stim;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;normal;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;inverted;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled;scrambled
intensity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
trial;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
-0.9510286909841549;0.3992419992300551;-0.22276160513104384;-0.07489062941808838;0.19997581085303448;0.7426235165726501;0.0643875484579735;-0.05999457266505733;0.09127544184116508;0.9490166081717633;0.31908739056058627;0.5091772901911824;-0.027725132258908946;0.2907750815158103;0.4381513272594524;0.4325250702616977;0.18862307100004802;0.19075286417972706;0.13148760711221635;0.4416899201012433;-0.1639282150991853;-0.144744352066766;-0.011966374214206696;0.07728539870315106;-0.15784002077532022;0.2931343644552899;0.026866418899343755;-0.15689278392608372;-0.3279373595119469;0.008499920389662574;0.34438475460994766;0.0501451295044264;0.44065960210501864;0.2922909372369718;-0.08031551073852923;0.23408447607991736;-0.27001919032909494;-0.10337424548736862;0.015263609478642326;-0.0361341081420772;0.5841713001522426;0.5512082603660532;0.3676682689642575;0.16637488992776128;-0.1946933833028588;0.016160917236723346;0.8605469007207636;0.4281771798247904;0.2667374858213647;0.22634266526289948;-0.03011482199725875;-0.05624535259496061;-0.0495334127584921;0.4741999973598392;0.01841479955338174;0.5861013366349032;0.2866026805696139;-0.5369954928333157;0.5077864873231177;-0.5794633828623941;-0.06626707325000653;-0.47185436533182695;-0.1628993443011483;0.030485402956597796;-0.25548711796282914;-0.24547280819847064;0.01456728170389085;0.5122710033590386;0.09009480376002184;-0.37724718730818035;0.5274751444030211;-0.020536093504048267;0.8983295153517077;0.5686746815210657;0.13529011618845171;0.347625057624093;0.7077768955969629;0.7058221341634507;-0.3356661423738083;0.4912080028209807;0.156498558097891;-0.1276163205165526;0.3999111339566417;0.10651045535894099;-0.19268801533842897;0.444411797047537;0.2014858860943202;0.3006090582534159;0.2869865844604961;0.4513181819410652;0.36362055118905057;0.2372238500091902;0.15277893121985506;0.19877833657080712;0.6036949173299314;-0.22752628299144992;0.2140666452784812;0.134588746653829;-0.28720697411018364;0.6329977185118278;-0.017322139998892244;0.2773672564115426;-0.3295241552692836;-0.2858244568874267;0.2687356178864854;0.5264350806092306;-0.3990853756990446;0.11161484574387631;0.15146072945330266
-0.8998294282946517;0.19026263604417074;-0.34732049753621635;0.008743688279532855;0.28222751731895734;0.6885516484912358;0.2238005194516451;0.22386199726643966;0.13464698412689746;0.7971033737316465;0.15105502662462578;0.3805360060265625;-0.11896819364541285;0.44940726321346797;0.5386891326027247;0.45771194299881673;0.1970444227832073;0.24308033176548927;0.4031921014766589;0.42970550811245606;-0.16630090373018114;0.01900772096241014;0.09680990802610703;-0.03720708979745791;-0.1592125643897385;-0.10100196427551582;0.12231052605031757;-0.2594663151176737;-0.11602948194907467;-0.14729570399975378;0.3607461230746933;0.036534949406072305;0.06728293235224538;0.18472069234068725;-0.16567965195898368;0.3346642162633457;0.0711876447199325;0.1611013178804069;-0.12615299251574702;-0.0611426635567627;0.4862686391098741;0.5304293588241996;0.3529062948534576;0.3136046538837628;-0.325420886597152;0.32891929335222614;0.4822546892567258;0.4172942380946365;0.04436340185909442;0.19196410169107184;0.023743226361222242;-0.04633349802978245;-0.08434842848478888;0.4593126211779876;-0.008282980879495389;0.35320010755447484;0.12858387521076647;-0.3859594098314892;0.3736870286814526;-0.32883596195965303;0.03145692762791183;-0.24841168200561617;-0.5484748044639005;0.12372623519669665;-0.3213320799187889;-0.19714250751459986;0.22875414734888716;0.45400567529336566;0.176285576448471;-0.19853378682094136;0.668683570884625;0.13299824793269635;0.7163514320074083;0.5682742692952197;0.27351942909523785;0.31770982669802267;0.3967822005454699;0.47641085671461975;-0.3334305627443688;0.3225460118980278;0.46091239389728855;0.03616257442020317;0.2769654507728097;0.1826995065368214;-0.35281225418882967;0.49012235770414875;0.3566800287505022;0.27484408304322017;0.23356151919698953;0.34538712030907853;0.04966352322346973;0.21146036157631168;0.08451169932812516;0.006720484264555182;0.5708292724714961;0.14659358727185137;0.18947772120143921;-0.04140558692521876;-0.1638804964593461;0.554443936407125;-0.1543933241680154;0.2946565458992162;-0.32180201681108717;-0.27827242698702376;0.23556712946051167;0.45377170300081665;-0.2803525388871735;0.23239832382048964;0.15933432757017776
-0.8504679678092847;0.04648053915013718;-0.34640061910243847;0.08414162825638412;0.28001953392700313;0.6675219843553348;0.3028775784390113;0.36078706660740834;0.16479780705524727;0.6877251943299131;0.12394772153467785;0.30152036624041645;-0.0786428215403599;0.5069246405331872;0.528281254964329;0.3924756533567157;0.2433717047128043;0.1792018293012824;0.5521612727445897;0.38689767697968536;-0.1549288559415491;0.030785598529130893;0.13015654005699667;0.010954083624582237;-0.13768058073126557;-0.22567342209237182;0.07338423779900038;-0.2316934468212448;-0.011871611152610352;-0.1697202989944689;0.3455649357814017;0.012002645574135514;-0.12462550962021941;0.1027284150316568;-0.18730483752451424;0.3505106838972131;0.2723727694022858;0.2915486469515443;-0.18896197777903687;-0.06679905967991027;0.4389477887683337;0.5118531900016432;0.2709982444649144;0.31475482791465303;-0.3568406804151927;0.39147455700642886;0.26368282739143917;0.4154910776955342;0.05383862004618768;0.17153611772569036;0.0032917932358908684;-0.027641978810678314;-0.10971678744264377;0.4291854312158658;-0.14299039457600465;0.21802390743083047;0.09413247369543123;-0.28021964863034776;0.2638828246592978;-0.19191224488791345;0.08006946696925904;-0.1387320346291715;-0.7124719654155532;0.16976909644589128;-0.2798577311693574;-0.10780495433529269;0.3401846751359829;0.38264805868854374;0.25834360927855027;-0.13329471504383197;0.6770929570439332;0.21496845934920608;0.5212181048433056;0.48803395535393534;0.3299810462887987;0.24505397968423542;0.22508182764465123;0.30534537183107957;-0.2920197462559467;0.18950658342049614;0.5629704997010411;0.18339700371215578;0.11315473576676154;0.19126694972724168;-0.34782409122054814;0.423588186668108;0.3999263990384384;0.26441201059569586;0.19873564648954342;0.2434232873174408;-0.10180441356445924;0.16554671033304585;0.0812342766837102;0.025299610951383958;0.49956342624629624;0.3775746806074787;0.08853681468737078;-0.1804729048138625;-0.07576927996959702;0.477533069725013;-0.1954399064674818;0.3642060585245814;-0.2757181887619647;-0.3176162924736415;0.23477448459901132;0.38163054454156126;-0.21378283300911063;0.18192374214683307;0.14466707943526366
-0.8002572986018398;-0.048739351847341614;-0.27602916718556614;0.13957043582680315;0.22982152147191723;0.6559473240962189;0.3231374056617004;0.3995620096781813;0.1782066597108728;0.5970135355836578;0.1601746128294693;0.24908957001773047;0.022671384064889517;0.4950685564078691;0.4584524089283531;0.2840620424279361;0.30166848395917195;0.06049848538623374;0.6061335694395689;0.3219953837881516;-0.13413974878673957;-0.02583734809843014;0.1232301717270349;0.13370100212968494;-0.10639165051751637;-0.1926327980858728;-0.038266033875953356;-0.14252185610222595;0.026218969107519384;-0.12150024869882808;0.30577678817131587;-0.008570669831616676;-0.1920767071812848;0.04248237683167585;-0.16889800784771913;0.3119210278365036;0.3671836411029647;0.33410369840993004;-0.19417191417126983;-0.06377495119835341;0.40209664096841546;0.48446889515979774;0.16281819507879908;0.22939537203534718;-0.32405591545844703;0.3054022718826215;0.14154562396648698;0.41627693980111663;0.18050750349577077;0.153948076252444;-0.04667091027540671;-0.014677708770868055;-0.1178583189104505;0.38558785688067526;-0.3040737116103141;0.1440254444055309;0.12598459294792516;-0.19835264920418302;0.17342720685338509;-0.1299873751483481;0.09351327840392365;-0.10240052232181045;-0.7069920628862832;0.1731812969505775;-0.18181665970582653;-0.017340885380963372;0.37906638595715914;0.3105982112976379;0.31485061919458185;-0.13003859037442422;0.6023942389007315;0.24954310236653168;0.33573302222546536;0.3649834813519591;0.32828107438265675;0.15584273657175773;0.1363203137487733;0.18143905816685607;-0.22891537197307898;0.07370519708348572;0.5359904138392576;0.31134242207534385;-0.05071990302263122;0.15742176248989426;-0.2548027692685804;0.2914674293782473;0.3730767392670993;0.2580317259875497;0.17172096178358418;0.1539633485427455;-0.15652670076698227;0.11463096632583931;0.10715983909278684;0.1371027518707691;0.40573515759163176;0.49509664151057176;-0.030891470681408194;-0.2758314168158388;-0.004699630682676592;0.39796554687126307;-0.1754898816066234;0.42896992474287804;-0.2036828407779703;-0.36731530247681726;0.2462512079932928;0.3090053907114359;-0.17198974223319982;0.055429038453178904;0.11708166148336883
-0.7481008433314855;-0.10820186093647136;-0.17625829097543036;0.16950510934482613;0.1581962714020598;0.6368120388364816;0.30225409596782055;0.376990943397043;0.17431625140687812;0.5090469081309464;0.2075767649925542;0.2074418436060238;0.13564331356515255;0.43854266349135446;0.36452352405935984;0.16553566944685041;0.3532249650013018;-0.06968243182298998;0.5890530837445411;0.24297674575471814;-0.10704626162217039;-0.09529656138761507;0.09985523488417627;0.26912899686847824;-0.0740230099601778;-0.08395780683306303;-0.1570627115671845;-0.03935528594742013;0.02875659828937166;-0.046579201324746466;0.2483313370227701;-0.017840678200179722;-0.18074234892806396;0.0004554650386264421;-0.1282844225957783;0.24250733596395313;0.3843440097259745;0.32332563668778413;-0.15989353304909032;-0.05893008889103394;0.35222986745472123;0.44234144340280185;0.05636606878860048;0.10339348711389822;-0.25401642889097953;0.1470241515717326;0.07108205684817388;0.41365628774634794;0.34184187583094194;0.13259890395970053;-0.09653570094040868;-0.014539024276971452;-0.10603938357646858;0.3306293207100937;-0.4385065575407421;0.10446640330572429;0.18201584916412133;-0.12743527191436518;0.09888399507054146;-0.11241731688611727;0.08338414447719737;-0.10739576290554674;-0.5821115222043854;0.14202386930786298;-0.06418180076399992;0.05092938880595996;0.36903901788005966;0.2451096005094888;0.33517085220826665;-0.1518256010115517;0.4822155556964094;0.25428394715821273;0.1744109677480008;0.22658273656842726;0.2878776112536893;0.06753276177641296;0.09004260153468677;0.09447349753751687;-0.1573380442949374;-0.03372695719323032;0.43509634012545834;0.416103447049199;-0.18777926331922365;0.10039385513569392;-0.12887158422034609;0.1303975270441576;0.3072574634136377;0.24805774983653292;0.14547619296929568;0.08085549355154602;-0.1612881494236361;0.067985997174423;0.13805445228898494;0.26309717691832657;0.30164356638374895;0.5250109994781907;-0.13169081284691028;-0.3263472984976479;0.05947747074173556;0.31364711945601387;-0.12177005731502011;0.45567554994400566;-0.11656290277872966;-0.40273205094102327;0.25560394954285337;0.23579676266763935;-0.13712882902624143;-0.08245890155661624;0.0836882999226142
-0.6989774381700045;-0.1415220292862702;-0.07398724249419604;0.17320364287208645;0.0834282182482206;0.5987557900794703;0.2545062154939932;0.31984292538683645;0.15474065982200966;0.4144101494784372;0.23466038852203558;0.16668068148758264;0.2285535737664334;0.35605580957108857;0.2687505244056793;0.05823911076009388;0.38550466090625585;-0.18291352883995834;0.52130004532283;0.15697090882155496;-0.07590669655472289;-0.14459561204289784;0.0747458247202386;0.37710001251143616;-0.045661254925491834;0.04318142537926841;-0.24871678821997079;0.048069068466628784;0.016933804733048105;0.026461214453192647;0.17989175756086626;-0.0140692116725996;-0.12621262819387402;-0.026613588426994923;-0.07837267351160522;0.16004273644992026;0.3480110770369621;0.28400373366310455;-0.10149874306909323;-0.056042152048300875;0.2788634733265441;0.38345639601459997;-0.03100761945499582;-0.02940800148175245;-0.166764392118633;-0.02883990705322008;0.02271689154502558;0.4023667405705058;0.48229202894480694;0.10445966052346543;-0.12896897172650165;-0.028690126284739492;-0.07539518021527747;0.266633727512918;-0.5163774401375221;0.0807443917636283;0.23306505529805582;-0.061048564682141704;0.0379211381132993;-0.11573652275240039;0.059127754279953426;-0.12927094426787597;-0.3841531599237784;0.08645406771680614;0.04765847782637295;0.08659589704803619;0.3280843435236033;0.18938873298840064;0.3169927485844084;-0.17385789053313438;0.3439174828640478;0.2412918919532151;0.04498505690211868;0.09218585363039704;0.2244574949224405;-0.00935124659564529;0.05906131969827719;0.035302734259759216;-0.08679208912035086;-0.13463688245000366;0.30020180265012625;0.4933519761060284;-0.2826138181589862;0.034352646595689276;-0.0068879007122583475;-0.031884761016264175;0.22461858816399388;0.22985553635327305;0.11601069278793591;0.024520636942700236;-0.147216618841697;0.030326394016065638;0.1590346973254268;0.3552925062113434;0.19651927924011497;0.48970386206971106;-0.19349147100662822;-0.3351315214974584;0.12075404114373534;0.22433269041742804;-0.05469462965094013;0.4297485390865493;-0.023777647648268303;-0.40915181242565885;0.25337956910237036;0.16260425965493278;-0.09902283907955671;-0.19210328376628039;0.0494935760358686
-0.6492927812417596;-0.15571247569733923;0.014453533267935147;0.15342010552486948;0.017024355603553337;0.5352101008231347;0.19119845587856904;0.24663887324696318;0.12255772712086402;0.3088699997113202;0.22623943178568467;0.12159290376565453;0.28394006172807934;0.2612843727856982;0.18317976542784667;-0.025943504201140593;0.3911576121603135;-0.2628253008836914;0.4199255063487559;0.07018203436397273;-0.04243252191742749;-0.15834664378567762;0.05552775488038254;0.435183672805058;-0.0236052479862362;0.15211708508284186;-0.2958491416938642;0.10412256012287947;0.004324008916587546;0.08127387829654714;0.10657766353820486;0.0005971671608710621;-0.055199097187709406;-0.041751632741865254;-0.02804102264065513;0.0772607001859337;0.2781255577018491;0.23283187023857677;-0.031782201164507085;-0.05647610012299104;0.18123294250054192;0.30867927271076856;-0.09054725132175839;-0.14559190512764705;-0.07658403493966809;-0.18538225948813553;-0.02099682386530516;0.37807329422740865;0.5685164009037282;0.06922129080174924;-0.13625407450109273;-0.05455890034698787;-0.029862982445891043;0.1960280460997698;-0.5258696414184346;0.060858039640049946;0.2608909727842085;0.0025123265725609154;-0.0110455591454288;-0.12280945408383644;0.028235662259428113;-0.15034060574800953;-0.15424789751337267;0.01750147593693363;0.13786837839802432;0.08886463678842385;0.2693779540325453;0.14359405396674133;0.26410859138115145;-0.18125188487664953;0.20626075856893947;0.21826155303212366;-0.050206228703898514;-0.02560062020236755;0.15030295054443424;-0.06959536000337921;0.02702108437858597;-0.004066925824343703;-0.023584195754053572;-0.22608048776326978;0.15874322289798;0.5389448794967278;-0.3290220096757441;-0.030745656714266267;0.08915471645745225;-0.17546895932621928;0.13994565310299942;0.20122508927882346;0.08174482196324684;-0.016926433676801578;-0.13282063970015834;0.0029908532900859543;0.1625597765180948;0.3900547796052608;0.09696552361425886;0.40843245029017994;-0.2090126162915854;-0.3082786721723888;0.17864904720147387;0.13128441496965418;0.011198472395779055;0.3507097031721477;0.06661334850372273;-0.3799450633646202;0.23433011554323538;0.0905365739107961;-0.05345179847728213;-0.25370365614728446;0.01777592018198587
-0.6009676134008259;-0.15571766391550435;0.08095636907967774;0.1152555575003239;-0.0349124443453718;0.4435877785982922;0.12105588600602356;0.16928320499076652;0.08168644405710615;0.19216697106557823;0.17948754566145908;0.07053852976460198;0.29552588642208405;0.16375404664747684;0.11222012835218731;-0.08251871994694186;0.3671001530518545;-0.30249614572130984;0.2988902177478756;-0.01216459598757419;-0.008042838773343653;-0.13429194841225314;0.04456078633759557;0.434936046154595;-0.008092228365201737;0.22264060690768264;-0.2940134281046236;0.12404647713065259;-0.0015596356863109284;0.11091187215573384;0.033751490286667206;0.02163936306974736;0.013317424234819297;-0.04777517846593571;0.01705493403661043;0.0026075443919162575;0.19075464202145156;0.17995063980195183;0.03887455930479126;-0.05979304361329296;0.06535497518519674;0.22082951980508625;-0.12020783210108968;-0.23064757807830216;0.0069445539331403905;-0.3005804182742933;-0.06815388749972713;0.33751883046288966;0.5849899239937874;0.028527560038345567;-0.11788753709829251;-0.08695811457373188;0.024773694428468024;0.12124498360386393;-0.4687134749922999;0.03801025175194298;0.25626211749545463;0.06182210422633442;-0.04915862239860717;-0.12201595339937162;-0.003559651789396573;-0.15887314954655896;0.07281301289169048;-0.05398227604596792;0.19829576430846121;0.06361891941510611;0.20208300965099216;0.10573411619045532;0.18443213834473182;-0.16699256072224955;0.08094650381954135;0.18944452521659072;-0.11295200957377649;-0.119665476191365;0.07464813551248928;-0.1118506152452908;-0.013840178190399788;-0.030421576638440917;0.028684095445846196;-0.3022901112126645;0.028164419188962165;0.5494412688327261;-0.3279390671232691;-0.08838207903308462;0.14901225519966435;-0.2872421024863633;0.06213463005398226;0.1618728957079287;0.04292682305795679;-0.046695962782526114;-0.12676298143723524;-0.015009985637379143;0.14661809994052552;0.36207248016109633;0.007370070183192967;0.2976354762966377;-0.18074869339128574;-0.25374775858416465;0.22970863799000132;0.03694407437509423;0.06636347300640921;0.22804414756020486;0.14782986852018265;-0.31487318878544807;0.19671570012963593;0.021039178065402953;-0.0006081031068898753;-0.26260937019799124;-0.009572205503161041
