area,fold_change
Superior colliculus sensory related,2.8263053381614305
Inferior colliculus,2.8230765575250674
Nucleus of the brachium of the inferior colliculus,2.2529585798816565
Nucleus sagulum,1.9386281588447651
Parabigeminal nucleus,1.3874788494077832
Midbrain trigeminal nucleus,1.6456953642384107
Subcommissural organ,
Substantia nigra reticular part,1.615922718187875
Ventral tegmental area,2.135790077430456
Paranigral nucleus,
Midbrain reticular nucleus retrorubral area,1.4982355535950598
Midbrain reticular nucleus,2.1285518115559308
Superior colliculus motor related,2.6632244467860913
Periaqueductal gray,2.456142313716715
Pretectal region,1.9370887787291569
Intercollicular nucleus,
Cuneiform nucleus,1.8946058091286309
Red nucleus,1.1120457604306864
Oculomotor nucleus,3.469879518072289
Medial accesory oculomotor nucleus,
Edinger-Westphal nucleus,3.3636363636363633
Trochlear nucleus,3.869565217391305
Paratrochlear nucleus,
Ventral tegmental nucleus,1.379661016949153
Anterior tegmental nucleus,1.3030303030303032
Lateral terminal nucleus of the accessory optic tract,1.2584269662921344
Dorsal terminal nucleus of the accessory optic tract,
Medial terminal nucleus of the accessory optic tract,
Substantia nigra lateral part,
Substantia nigra compact part,1.7186406796601699
Pedunculopontine nucleus,1.4107932077227265
Interfascicular nucleus raphe,1.319693094629156
Interpeduncular nucleus,1.100909484625379
Rostral linear nucleus raphe,2.0
Central linear nucleus raphe,1.329752953813104
Dorsal nucleus raphe,4.048507462686567
